user_id,churn_prob,risk_band,current_plan_price
U002488,1.0,High,799.0
U000102,1.0,High,499.0
U002349,1.0,High,299.0
U002002,1.0,High,799.0
U000243,1.0,High,499.0
U000256,1.0,High,299.0
U000250,1.0,High,499.0
U000584,1.0,High,299.0
U000533,1.0,High,299.0
U002032,1.0,High,799.0
U000497,1.0,High,799.0
U002222,1.0,High,499.0
U002232,1.0,High,299.0
U001788,1.0,High,499.0
U000653,1.0,High,499.0
U001886,1.0,High,299.0
U001891,1.0,High,799.0
U001531,1.0,High,799.0
U001445,1.0,High,799.0
U000033,1.0,High,799.0
U000058,1.0,High,299.0
U002427,1.0,High,499.0
U001215,1.0,High,499.0
U002478,1.0,High,499.0
U001362,1.0,High,799.0
U000001,0.9997497218669567,High,299.0
U000695,0.9997497218669567,High,299.0
U002265,0.9995964566929135,High,499.0
U001889,0.9995876366094508,High,299.0
U001361,0.9995876366094508,High,299.0
U000728,0.9995876366094508,High,299.0
U002306,0.99934617855987,High,299.0
U000588,0.99934617855987,High,299.0
U000581,0.9991840933023642,High,299.0
U000784,0.9990514748409486,High,299.0
U000246,0.9989939228279092,High,299.0
U000753,0.998903376797058,High,299.0
U000023,0.998903376797058,High,299.0
U001489,0.9986479315338619,High,299.0
U001947,0.9985805632089964,High,299.0
U001637,0.9985805632089964,High,299.0
U001187,0.9985805632089964,High,299.0
U001113,0.9985805632089964,High,299.0
U001046,0.9985805632089964,High,299.0
U001787,0.9985805632089964,High,299.0
U000908,0.9985805632089964,High,299.0
U001778,0.9985805632089964,High,299.0
U000889,0.998537472024192,High,299.0
U000705,0.9985243236967375,High,499.0
U000704,0.9985243236967375,High,499.0
U001850,0.9985243236967375,High,499.0
U000685,0.9985243236967375,High,499.0
U000279,0.9985243236967375,High,499.0
U002108,0.9985243236967375,High,499.0
U002261,0.9985243236967375,High,499.0
U000119,0.9985243236967375,High,499.0
U002340,0.9985243236967375,High,499.0
U000168,0.9985243236967375,High,499.0
U002248,0.9985243236967375,High,499.0
U000230,0.9985243236967375,High,499.0
U000384,0.9985243236967375,High,499.0
U001523,0.9985243236967375,High,499.0
U002440,0.9985243236967375,High,499.0
U002433,0.9985243236967375,High,499.0
U001022,0.9985243236967375,High,499.0
U002038,0.9985243236967375,High,499.0
U001935,0.9985243236967375,High,499.0
U002033,0.9984054448225571,High,299.0
U001652,0.9983564564977877,High,299.0
U000970,0.9983564564977877,High,299.0
U000790,0.9983564564977877,High,299.0
U000801,0.9983564564977877,High,299.0
U001532,0.9983564564977877,High,299.0
U001493,0.9983564564977877,High,299.0
U002339,0.9983564564977877,High,299.0
U002116,0.9983040965872837,High,299.0
